ER53001,ER53002,ER53017,ER57482,ER58255
3,7517,59,0,2
3,8684,55,4,2
3,8434,37,2,4
3,8569,25,10,4
3,2176,28,6,2
3,7300,41,0,4
3,8687,36,2,4
3,8329,37,7,4
3,5963,21,10,4
3,8698,32,8,4
3,4618,67,3,2
3,7139,51,4,4
3,6170,46,0,4
3,8024,28,7,2
3,5048,40,0,4
3,1528,57,3,1
3,3461,91,0,4
3,1195,58,0,1
3,3571,38,0,4
3,8860,33,0,1
3,9021,31,99,1
3,3221,28,6,2
3,2662,68,0,3
3,1612,39,1,4
3,6441,59,0,2
3,2820,57,0,2
3,4526,55,8,1
3,3305,39,10,1
3,6774,38,14,2
3,6118,38,15,2
3,4775,36,4,4
3,5796,32,0,2
3,5855,32,6,4
3,5991,29,0,4
3,6276,25,1,4
3,6202,21,0,1
3,8581,21,2,2
3,8359,20,0,4
3,3387,43,0,1
3,4127,24,7,1
3,7355,52,4,1
3,8696,20,14,4
3,866,69,2,2
3,7473,49,0,4
3,2351,47,0,2
3,6294,66,6,1
3,6697,37,15,4
3,6082,46,0,1
3,7423,27,0,4
3,208,94,10,4
3,155,60,1,2
3,177,84,0,2
3,1002,62,6,2
3,1596,64,1,4
3,4715,38,2,4
3,2065,49,2,1
3,6491,27,2,2
3,1284,25,7,4
3,1865,51,2,1
3,851,75,0,2
3,7087,51,0,2
3,1163,50,20,1
3,8959,23,3,4
3,5453,33,4,1
3,6557,91,99,4
3,5149,56,0,2
3,6835,60,4,1
3,4153,60,0,4
3,3172,66,1,1
3,7941,41,4,4
3,5977,40,0,2
3,7190,48,0,4
3,7557,37,7,4
3,6183,29,2,3
3,7500,36,3,1
3,217,80,99,2
3,18,61,6,2
3,496,60,5,2
3,2554,31,3,2
3,2425,28,0,4
3,198,80,0,2
3,1231,55,0,2
3,358,48,0,2
3,759,47,0,2
3,1415,21,0,2
3,1169,63,1,2
3,1255,43,2,4
3,8607,42,3,1
3,7354,66,2,3
3,2990,67,1,2
3,2389,68,1,1
3,4992,46,0,2
3,4968,42,4,3
3,4208,41,0,2
3,12,79,2,2
3,4976,52,3,3
3,998,51,4,2
3,234,50,0,2
3,1306,31,6,2
3,8836,30,3,4
3,2896,27,1,1
3,7726,26,2,4
3,2106,22,4,2
3,3380,43,2,1
3,6418,42,0,1
3,4973,35,0,1
3,4889,50,6,1
3,5300,57,0,4
3,8432,33,10,1
3,3948,36,13,2
3,5837,32,1,4
3,650,58,8,2
3,7294,33,4,2
3,6605,34,3,1
3,4278,42,0,3
3,5572,45,0,2
3,3578,29,4,3
3,8138,34,13,1
3,6863,55,0,1
3,1830,35,7,2
3,4511,19,2,4
3,1762,57,2,1
3,2753,58,6,4
3,4255,45,2,1
3,5421,57,20,2
3,5424,23,22,1
3,88,77,0,1
3,3521,48,1,3
3,4606,22,4,4
3,869,52,5,1
3,2030,44,3,1
3,7387,41,1,1
3,2002,43,6,1
3,1841,28,0,3
3,860,77,1,1
3,1140,53,1,2
3,51,49,2,1
3,3227,53,0,3
3,1097,42,0,4
3,2296,40,0,1
3,3006,71,2,1
3,882,45,4,4
3,4566,24,7,4
3,1698,78,0,1
3,1439,55,2,2
3,2637,52,2,2
3,3379,51,0,1
3,5931,48,5,3
3,3182,46,4,4
3,5214,34,1,4
3,4778,32,2,4
3,3928,32,4,1
3,3481,28,3,2
3,4457,24,18,4
3,7198,24,2,4
3,3988,21,2,4
3,3068,54,0,3
3,2439,58,4,2
3,1815,65,0,1
3,3340,79,0,1
3,3501,49,0,3
3,7449,27,0,4
3,4984,76,3,2
3,7048,48,7,2
3,6164,36,7,2
3,7024,20,8,2
3,8288,25,10,1
3,8318,28,2,4
3,5709,64,6,1
3,7471,43,0,4
3,3323,37,1,1
3,5723,22,11,4
3,8040,67,5,1
3,7187,43,3,1
3,3347,87,0,4
3,7127,62,1,1
3,2321,61,2,1
3,4591,31,2,1
3,5034,55,1,1
3,5694,34,2,1
3,2120,24,7,1
3,479,75,5,2
3,2636,46,0,1
3,82,79,0,2
3,1050,50,5,4
3,3424,59,0,4
3,8249,32,4,4
3,4001,27,2,2
3,3822,86,99,4
3,2408,60,6,4
3,517,80,0,1
3,478,56,5,1
3,2823,49,0,4
3,1651,36,2,4
3,1055,29,2,4
3,8436,50,13,4
3,7984,37,0,3
3,1013,53,4,4
3,402,77,4,1
3,4233,75,3,4
3,6722,54,0,4
3,1294,32,6,2
3,7693,30,4,2
3,1552,26,2,3
3,9056,25,2,4
3,7831,33,13,1
3,1150,84,3,1
3,3842,58,6,2
3,2285,49,11,2
3,633,33,4,4
3,5408,25,1,2
3,5036,61,0,1
3,8186,38,0,1
3,7291,36,6,3
3,1666,55,0,1
3,6915,32,1,4
3,409,74,6,3
3,7090,49,0,2
3,6690,54,0,1
3,9010,45,1,4
3,3508,79,0,4
3,862,56,1,1
3,2959,43,2,1
3,363,37,6,1
3,211,65,0,2
3,94,37,7,1
3,345,66,6,3
3,1734,67,3,1
3,5028,38,6,2
3,6132,67,3,2
3,7980,33,17,2
3,700,65,0,1
3,2470,38,0,2
3,2375,36,3,1
3,5730,23,7,4
3,8050,35,0,2
3,2895,33,8,4
3,5939,56,0,4
3,7029,35,5,4
3,4115,85,2,4
3,5058,21,4,4
3,1197,47,7,2
3,1560,70,0,3
3,2762,35,2,2
3,1663,40,3,1
3,1104,56,2,1
3,1131,66,9,1
3,4596,36,0,4
3,2834,41,14,1
3,5615,46,2,1
3,4381,52,0,3
3,4827,73,1,4
3,3902,33,0,4
3,4739,58,1,4
3,4488,55,9,4
3,5399,25,8,2
3,6365,28,1,1
3,4709,25,7,2
3,4611,46,5,3
3,5949,40,4,2
3,8104,39,10,1
3,8525,25,4,2
3,5209,52,4,4
3,7538,37,8,4
3,6375,35,6,4
3,438,64,0,1
3,279,60,3,1
3,3066,40,1,4
3,463,39,3,1
3,165,79,0,2
3,7800,52,0,1
3,7916,23,2,2
3,7615,38,17,4
3,8874,42,15,4
3,7863,44,11,4
3,7616,33,0,4
3,8677,28,10,4
3,8587,44,24,2
3,61,75,10,1
3,168,52,7,2
3,7007,34,4,4
3,6188,33,10,4
3,10,79,11,2
3,256,74,10,2
3,5865,41,16,2
3,8314,21,2,4
3,6385,19,7,4
3,90,48,0,4
3,526,46,2,2
3,5104,77,99,4
3,4920,24,3,2
3,1036,51,0,1
3,39,85,0,4
3,6414,61,1,3
3,28,56,99,2
3,4450,66,6,4
3,782,39,1,1
3,4282,37,2,1
3,1158,34,5,2
3,1401,31,0,2
3,909,24,6,2
3,5318,33,0,1
3,6999,29,3,1
3,5393,70,0,1
3,6779,44,6,1
3,8276,40,8,4
3,4891,61,1,1
3,8139,48,10,2
3,4644,50,0,1
3,4750,66,0,1
3,4919,30,0,1
3,7248,26,6,4
3,5428,61,0,4
3,4689,40,0,1
3,6111,63,2,1
3,5716,36,3,1
3,5745,36,5,1
3,4353,41,0,4
3,1311,34,5,2
3,4855,80,6,1
3,8054,33,2,1
3,8533,39,5,4
3,2041,29,7,2
3,1166,26,2,2
3,4936,23,2,2
3,2785,60,5,1
3,1051,57,0,3
3,1808,56,3,1
3,6571,51,2,3
3,3085,45,4,4
3,1930,31,2,1
3,1675,35,5,1
3,3427,33,0,1
3,6151,92,99,4
3,3665,59,0,1
3,2494,55,0,2
3,4003,34,2,2
3,5223,30,2,1
3,5783,26,0,2
3,4633,22,2,2
3,6366,67,0,3
3,4844,66,3,1
3,8406,26,9,4
3,1516,61,6,2
3,9095,27,99,4
3,2184,25,6,4
3,1046,55,1,1
3,4789,70,0,2
3,4572,24,10,2
3,1791,26,3,1
3,5203,66,0,2
3,1286,74,8,2
3,4722,53,0,2
3,4038,35,2,2
3,1177,56,2,2
3,8458,40,14,4
3,8176,25,6,3
3,6979,33,1,1
3,907,63,3,1
3,1298,74,3,4
3,8798,21,4,2
3,8643,22,0,4
3,5965,32,1,1
3,5726,22,2,2
3,1773,64,1,1
3,68,82,0,2
3,754,54,2,4
3,6255,34,5,4
3,2875,64,3,3
3,781,29,4,4
3,360,79,3,2
3,1624,55,99,2
3,5784,54,4,1
3,6846,34,4,1
3,2064,30,0,4
3,2564,28,2,1
3,6848,23,3,2
3,7891,52,1,3
3,7369,83,99,4
3,367,59,2,2
3,8208,38,0,1
3,2751,53,0,1
3,7290,62,0,3
3,8828,61,3,2
3,5580,26,1,2
3,428,72,0,1
3,2904,46,0,4
3,5140,37,0,1
3,1742,66,5,4
3,2364,92,3,4
3,795,59,2,3
3,8993,31,2,1
3,7854,69,0,2
3,904,50,8,1
3,7495,42,0,4
3,1518,39,0,2
3,745,37,0,2
3,3436,67,2,4
3,1749,43,2,1
3,5006,41,0,4
3,146,81,1,1
3,34,51,3,2
3,8750,49,3,4
3,3398,88,99,4
3,2772,64,0,1
3,946,58,7,2
3,592,31,0,2
3,2196,27,0,2
3,3369,89,0,1
3,1101,59,6,1
3,2161,66,0,1
3,2113,44,0,1
3,1967,37,3,1
3,2327,49,3,4
3,159,68,2,2
3,1926,32,2,1
3,434,40,4,4
3,1126,64,5,1
3,9030,37,1,3
3,8653,33,0,1
3,5382,27,0,3
3,1471,96,99,4
3,544,32,3,2
3,2647,28,3,2
3,41,60,2,1
3,5727,70,0,1
3,6601,46,2,1
3,8978,27,10,1
3,7340,47,2,1
3,2838,66,9,4
3,713,72,1,2
3,8701,34,2,1
3,340,83,7,2
3,3364,47,4,2
3,9060,22,6,2
3,457,40,0,1
3,4170,86,99,4
3,507,31,4,1
3,2773,65,7,4
3,1219,40,10,1
3,1181,33,0,1
3,101,88,1,3
3,1588,46,0,4
3,6776,48,0,1
3,133,36,1,2
3,2268,65,1,1
3,270,32,0,1
3,7716,61,1,2
3,7133,57,1,1
3,7057,55,4,4
3,8026,42,2,1
3,6644,29,1,4
3,4048,86,0,2
3,3763,63,3,2
3,4779,51,11,2
3,4373,34,4,4
3,7727,35,2,4
3,2628,64,0,1
3,6568,25,4,1
3,137,22,4,1
3,6415,81,0,1
3,7069,53,0,1
3,7425,51,0,1
3,2461,58,0,1
3,687,65,0,2
3,972,42,4,2
3,1426,38,0,2
3,2038,36,0,2
3,3253,34,8,2
3,2511,32,6,2
3,1620,62,1,1
3,2103,22,10,2
3,4002,32,7,1
3,813,34,0,4
3,4261,33,22,4
3,2951,33,8,4
3,8766,33,17,4
3,5081,29,3,4
3,2317,28,2,3
3,3550,57,0,2
3,2166,55,4,1
3,1184,65,4,1
3,2980,42,2,1
3,8730,51,7,4
3,8775,43,0,4
3,940,41,0,1
3,8884,32,0,4
3,7944,27,0,4
3,672,88,1,4
3,5978,43,1,4
3,1328,40,4,4
3,5749,38,1,4
3,1024,33,9,2
3,1881,31,2,1
3,980,29,4,1
3,1910,29,10,4
3,1257,49,7,1
3,1288,47,6,1
3,1381,38,2,4
3,4700,63,1,2
3,6358,61,0,1
3,4908,65,0,1
3,4890,65,2,2
3,7549,38,4,2
3,8550,37,8,4
3,5771,34,4,1
3,5285,24,4,2
3,4482,27,9,1
3,8259,37,1,1
3,5354,38,2,1
3,2341,71,2,2
3,1946,46,11,2
3,1697,67,4,2
3,1495,84,3,2
3,1212,63,0,2
3,7405,59,9,1
3,2934,65,2,2
3,4553,35,2,4
3,5698,33,12,2
3,847,33,2,2
3,7604,28,0,4
3,7629,32,0,1
3,1619,30,12,1
3,3025,31,3,1
3,6768,34,3,4
3,985,54,0,2
3,4476,29,2,1
3,8538,32,4,4
3,3153,61,1,1
3,3913,40,6,4
3,2549,38,6,4
3,1524,41,0,2
3,5474,81,0,2
3,4200,58,0,2
3,1201,56,4,4
3,3453,90,99,4
3,296,41,2,4
3,8151,38,7,4
3,44,34,3,2
3,6462,31,0,1
3,2297,66,0,3
3,376,70,1,1
3,1303,37,0,1
3,476,42,0,1
3,616,44,2,1
3,590,47,4,1
3,7030,48,1,3
3,4899,75,0,1
3,4333,59,4,4
3,3719,59,5,2
3,4343,30,1,2
3,6032,53,9,1
3,6098,29,4,4
3,1261,26,9,2
3,3738,33,0,1
3,1337,32,1,4
3,6477,31,2,4
3,1777,76,2,1
3,7546,90,99,4
3,4983,59,0,1
3,1561,54,1,2
3,7339,30,4,2
3,6482,54,2,1
3,7519,49,2,2
3,3428,57,7,1
3,5022,60,3,4
3,4940,39,7,3
3,4064,33,1,1
3,954,32,4,1
3,7537,70,2,1
3,7253,43,0,1
3,7879,42,4,2
