PCGS,TAS,PCG14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,H14REL,H14M1,H14M2,H14M4,H14M5,H14M6,H14M7,H14M8,H14M9,H14M10,H14M11,H14M12,H14M13,H14M14,H14M15,H14M16,H14M17,H14M18,H14M19,H14M20,H14M21,H14M22,H14M23,H14M24,H14M25,H14Q3,H14S9,H14S10,H14S19,H14S20,H14S21,H14S22,H14S28,H14CDSHID,H14PSIDFLG,H14INST,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
,1,,,,1,,,,,2,4,37,0,5,0,0,0,0,0,0,0,31,2,1,1,1,1,0,1,2,2019,2007,4,179,1966,2,2,124,2,4,8,1965,3,98,2009,2,3,2006,1,2009,99,9999,99,9999,99,9999,2009,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1288,3,30,,,0,0,0,,,8582,3,30,3,6,2845,51,30,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,
,2,,,,1,1,,,,2,4,38,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,1,2,2015,2003,4,7,1960,1,1,115,1,4,175,1959,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,9,2017,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,6880,2,30,,,0,0,0,,,8180,1,10,3,3,7655,1,10,2,4,8569,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,8691,2,20,,
,5,,,,1,1,1,1,1,2,4,39,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,2,0,0,4,31,1973,3,1,110,2,4,938,9999,99,99,2019,3,8,2009,1,2016,10,2011,99,9999,99,9999,2019,1,6,2010,4,11,2018,8,2017,99,9999,9,99,9999,99,9999,4,0,2017,1968,0,289,3,60,,,148,3,60,,,13,3,60,3,6,1602,2,20,2,6,8698,2,20,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304,2,20,2,4,7682,1,10,2,5
,4,,,,,1,1,1,1,2,4,41,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,2,0,0,4,31,1973,3,2,998,1,4,195,1972,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,3,2013,4,12,2014,6,2014,99,9999,9,99,9999,99,9999,4,0,0,1968,0,1157,3,30,,,196,3,30,,,684,3,30,,,2147,1,10,2,5,5963,2,20,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,2,60,2,4,6393,1,10,2,6
1,4,1.1,1,1,1,1,,,,2,4,180,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,3,0,0,4,179,1966,2,1,998,2,4,8,1965,3,98,2019,4,12,2000,5,2015,12,2008,3,2003,99,9999,2019,3,9,2002,4,2,2005,98,9998,10,2013,1,99,9999,99,9999,1,0,2017,1968,0,771,2,22,5,6,1130,1,10,4,6,77,1,10,3,5,1839,2,20,2,5,2176,1,10,,,2,6,4,3,1,1,4,2,4,2,5,1,5,4,3,3,2,3,4,2,2,3,3,4,4,3,3,5,6,7,5,5,5,1,1,1,3252,2,20,,,4293,2,20,,
1,4,1.1,1,1,1,1,,,,2,5,32,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,1,2,2019,2015,5,170,1965,2,2,991,1,5,3,1962,2,2,2013,2,4,2007,8,2012,99,9999,99,9999,99,9999,2013,1,6,2006,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2013,1968,0,624,3,30,5,3,8069,2,20,4,5,3976,2,20,3,5,8389,2,20,2,6,5048,2,20,,,2,6,1,5,1,4,2,2,4,1,1,5,5,4,2,2,2,3,4,2,2,2,4,3,3,3,4,1,6,2,5,5,5,6,1,2,0,0,0,,,0,0,0,,
,2,,,,,,,1,1,2,5,33,0,0,0,0,0,0,0,0,0,31,2,1,1,0,1,1,0,2,2013,2013,5,172,1963,3,3,126,1,5,5,1966,1,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1504,3,30,,,7756,3,30,,,8470,3,30,,,975,3,30,,,6170,71,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7098,1,10,2,3,4162,1,10,2,5
1,,1.1,,,,,,,,2,5,181,0,0,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,0,0,0,5,922,9999,99,99,999,9,5,919,9999,99,99,2019,1,2,2009,99,9999,99,9999,99,9999,99,9999,2019,1,9,2006,4,8,2012,5,2011,99,9999,9,99,9999,99,9999,4,0,0,1968,0,7566,2,22,,,7878,2,20,,,8312,2,20,,,8244,1,10,,,8024,1,10,,,2,7,4,5,2,1,2,1,2,1,5,5,1,4,3,3,2,3,3,2,2,3,3,3,3,1,4,1,0,1,5,5,5,5,1,1,2571,2,22,,,4308,2,22,,
1,,1.1,,,,,,,,2,6,30,0,5,0,0,0,0,0,0,0,4,1,2,1,0,1,0,1,2,2019,2019,6,4,1948,2,1,995,1,6,170,1944,3,2,2015,3,8,2001,4,2006,4,2004,99,9999,99,9999,2017,1,9,1997,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,724,2,20,,,724,2,20,,,729,2,20,,,5667,2,20,,,1612,2,20,,,2,6,3,4,1,2,3,2,2,1,5,1,5,4,2,2,1,3,4,1,2,2,4,4,4,1,4,1,6,5,5,5,5,7,1,2,2184,2,20,,,6322,2,20,,
,4,,1,1,1,1,,,,2,6,34,0,5,0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,2,2005,2003,6,172,1955,3,3,995,1,6,6,1955,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,7,2017,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,1202,51,30,5,6,5967,1,10,4,6,858,1,10,3,6,7106,1,10,2,5,3221,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679,1,10,,,5702,1,10,,
