ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
,,2277,184,1314,,3
,,2133,34,1224,,2
,,41,5,35,,2
,,1565,180,895,,2
,,2181,32,1242,,2
,,1684,30,962,,2
,,597,35,316,,1
,,1758,31,1020,,1
,,1830,177,1071,,2
,,2255,31,1294,,2
,,2701,231,1622,,1
,,5706,223,2595,,1
,,2615,187,1557,,2
,,5182,190,2233,,1
,,2615,196,1561,,2
,,5366,48,2319,,1
,,2393,5,1397,,1
,,6793,32,3275,,2
,,6203,183,2958,,1
,,6740,181,3245,,1
4,44,4,180,1,2,1
4,48,4,180,1,3,1
5,34,5,32,6,3,2
5,35,5,181,5,3,1
5,36,5,32,6,4,2
6,35,6,30,7,3,2
6,36,6,30,7,4,2
6,37,6,30,7,5,2
6,40,6,177,8,3,2
6,41,6,177,8,4,2
7,49,7,175,10,4,2
7,50,7,36,13,2,1
7,51,7,33,12,3,2
7,52,7,36,13,3,1
7,54,7,36,13,4,1
7,55,7,40,16,3,2
7,56,7,36,13,5,1
7,57,7,46,15,3,2
7,58,7,45,10,5,3
7,60,7,40,16,4,2
10,36,10,181,18,3,1
10,37,10,32,17,4,2
10,38,10,34,19,2,1
14,34,14,31,21,2,1
16,37,16,32,22,3,2
16,41,16,32,22,4,2
16,177,16,171,23,3,2
18,42,18,31,24,4,1
18,43,18,36,27,3,2
18,45,18,185,26,3,2
18,48,18,170,28,3,2
18,49,18,36,27,4,2
23,32,23,178,30,3,2
23,33,23,178,30,4,2
23,34,23,178,30,5,2
39,33,39,174,31,3,2
40,44,40,31,32,3,2
40,45,40,31,32,4,2
41,34,41,186,38,3,2
41,37,41,183,37,4,2
41,38,41,186,38,4,2
41,39,41,197,39,3,2
41,40,41,186,38,5,2
41,41,41,197,39,4,2
41,43,41,187,41,2,1
41,44,41,30,34,3,2
41,45,41,30,34,4,2
45,35,45,31,42,2,1
47,41,47,31,43,4,2
47,43,47,32,45,4,2
47,44,47,181,46,3,2
47,46,47,34,47,3,2
50,36,50,31,48,3,2
50,37,50,31,48,4,2
51,35,51,172,50,2,1
51,36,51,172,50,3,1
51,37,51,172,50,4,1
53,43,53,6,51,3,2
53,44,53,220,52,6,2
53,46,53,36,55,3,2
53,48,53,33,54,3,1
53,49,53,33,54,4,1
53,50,53,33,54,5,1
53,51,53,36,55,4,2
53,53,53,243,57,3,2
53,54,53,36,55,5,2
57,186,57,180,58,3,2
60,38,60,32,59,4,2
60,39,60,32,59,5,2
60,41,60,184,61,3,2
60,42,60,184,61,4,2
61,36,61,172,62,3,2
61,37,61,30,63,3,2
61,38,61,31,64,3,1
68,31,68,175,65,4,2
68,32,68,175,65,5,2
68,33,68,175,65,6,2
84,37,84,182,67,3,2
84,38,84,31,68,3,2
84,39,84,31,68,4,2
84,40,84,182,67,4,2
88,38,88,32,70,3,2
88,39,88,32,70,4,2
88,40,88,31,69,2,1
89,36,89,179,73,4,1
89,37,89,179,73,5,1
89,38,89,179,73,6,1
89,39,89,30,74,3,2
105,40,105,192,83,2,1
105,42,105,180,82,3,1
105,43,105,34,80,3,2
105,44,105,30,79,2,1
105,185,105,186,81,3,2
113,32,113,30,84,3,2
